Protein1,Protein2,InteractionProbability
ITA5_HUMAN,FINC_HUMAN,0.96
KDM1A_HUMAN,HM20A_HUMAN,0.87
EXOS1_HUMAN,EXOS7_HUMAN,0.9
TERA_HUMAN,TERA_HUMAN,1.0
ASAP1_HUMAN,FAK1_HUMAN,0.9
RL11_HUMAN,MDM2_HUMAN,0.97
ATF4_HUMAN,ATF3_HUMAN,0.9
HABP4_HUMAN,CHD3_HUMAN,0.89
CNBP_HUMAN,RL36_HUMAN,0.86
CDC20_HUMAN,APC1_HUMAN,0.88
MYC_HUMAN,NUP93_HUMAN,0.88
S38A9_HUMAN,RRAGC_HUMAN,0.86
MYC_HUMAN,CDK6_HUMAN,0.86
CUL5_HUMAN,ELOB_HUMAN,0.9
CHK2_HUMAN,MDM2_HUMAN,0.88
DSN1_HUMAN,CASC5_HUMAN,0.89
TRAF2_HUMAN,TNFA_HUMAN,0.89
PARP1_HUMAN,XRCC5_HUMAN,0.89
RNF8_HUMAN,MDC1_HUMAN,0.9
CBP_HUMAN,HXB7_HUMAN,0.88
RL23_HUMAN,MDM2_HUMAN,0.88
SRBS1_HUMAN,VINC_HUMAN,0.89
TRMB_HUMAN,WDR4_HUMAN,0.94
CRY1_HUMAN,PER2_HUMAN,0.88
RPB1_HUMAN,SPT6H_HUMAN,0.88
GLYG2_HUMAN,GYS1_HUMAN,0.92
EPS8_HUMAN,EPS8_HUMAN,0.97
RANB3_HUMAN,RCC1_HUMAN,0.89
SF3A2_HUMAN,SF3B2_HUMAN,0.89
BAD_HUMAN,S10AA_HUMAN,0.87
MYC_HUMAN,IPO9_HUMAN,0.86
DPM3_HUMAN,DPM1_HUMAN,0.89
H4_HUMAN,TBL1X_HUMAN,0.88
GIPC1_HUMAN,LRP2_HUMAN,0.89
NFE2_HUMAN,NFE2_HUMAN,0.89
CUL4B_HUMAN,DDB1_HUMAN,0.9
SKA1_HUMAN,SKA2_HUMAN,0.9
HAUS1_HUMAN,HAUS7_HUMAN,0.88
H4_HUMAN,SETD8_HUMAN,0.9
APBB2_HUMAN,A4_HUMAN,0.96
ARC1B_HUMAN,ARPC4_HUMAN,0.89
BOP1_HUMAN,PESC_HUMAN,0.98
MED1_HUMAN,MED14_HUMAN,0.88
PACN2_HUMAN,WASL_HUMAN,0.96
CDC5L_HUMAN,EXOC7_HUMAN,0.86
STRAP_HUMAN,GEMI7_HUMAN,0.86
CBX8_HUMAN,AF9_HUMAN,0.89
JAM1_HUMAN,CSKP_HUMAN,0.89
MAFA_HUMAN,PDX1_HUMAN,0.88
PCGF1_HUMAN,KDM2B_HUMAN,0.88
CIKS_HUMAN,TRAF6_HUMAN,0.94
MCM5_HUMAN,MCM2_HUMAN,0.99
PRGR_HUMAN,NCOA1_HUMAN,0.86
ZAP70_HUMAN,PTN6_HUMAN,0.86
RECQ5_HUMAN,RPB2_HUMAN,0.86
MCRS1_HUMAN,IN80E_HUMAN,0.87
SKIL_HUMAN,SKI_HUMAN,0.9
SEC13_HUMAN,SEH1_HUMAN,0.94
TBPL1_HUMAN,T2AG_HUMAN,0.88
PRDX6_HUMAN,PRDX6_HUMAN,0.96
GSTM4_HUMAN,GSTM4_HUMAN,0.86
CDK7_HUMAN,CCNH_HUMAN,0.97
PSA6_HUMAN,PSA7_HUMAN,0.98
AHNK_HUMAN,S10AA_HUMAN,0.88
UBP21_HUMAN,MARK2_HUMAN,0.86
NUPR1_HUMAN,MSL1_HUMAN,0.86
MKL1_HUMAN,SRF_HUMAN,0.89
RN19A_HUMAN,UB2L3_HUMAN,0.86
DHB1_HUMAN,DHB1_HUMAN,0.89
CBP_HUMAN,ANDR_HUMAN,0.9
HAX1_HUMAN,IL1A_HUMAN,0.9
PSDE_HUMAN,PRS4_HUMAN,0.97
RNF4_HUMAN,SP1_HUMAN,0.86
NU133_HUMAN,NU153_HUMAN,0.87
GPS2_HUMAN,TBL1X_HUMAN,0.9
CSN5_HUMAN,S10A7_HUMAN,0.88
CAR11_HUMAN,BCL10_HUMAN,0.9
EPS15_HUMAN,NUMB_HUMAN,0.89
LIPS_HUMAN,PLIN1_HUMAN,0.86
CBX2_HUMAN,RING1_HUMAN,0.96
ANDR_HUMAN,CCNE1_HUMAN,0.86
LAT_HUMAN,3BP2_HUMAN,0.9
ATF3_HUMAN,ATF2_HUMAN,0.88
MED19_HUMAN,MED19_HUMAN,0.89
SLMAP_HUMAN,FGOP2_HUMAN,0.89
NHRF1_HUMAN,CFTR_HUMAN,0.97
ANM5_HUMAN,ICLN_HUMAN,0.9
NDOR1_HUMAN,CPIN1_HUMAN,0.89
HDAC2_HUMAN,RBBP4_HUMAN,0.99
APAF_HUMAN,CYC_HUMAN,0.89
VATA_HUMAN,CHM4B_HUMAN,0.86
IKKB_HUMAN,CTNB1_HUMAN,0.88
PCNA_HUMAN,CDN1A_HUMAN,0.9
LIRB1_HUMAN,PTN6_HUMAN,0.86
ORC3_HUMAN,ORC2_HUMAN,0.97
SLX4_HUMAN,XPF_HUMAN,0.9
ATM_HUMAN,NBN_HUMAN,0.89
TRAF2_HUMAN,TNR5_HUMAN,0.97
SAMH1_HUMAN,VPRBP_HUMAN,0.89
RFX4_HUMAN,RFX2_HUMAN,0.87
RUVB2_HUMAN,UCHL5_HUMAN,0.87
XPA_HUMAN,HERC2_HUMAN,0.86
SNX6_HUMAN,SNX1_HUMAN,0.98
HNF4A_HUMAN,HNF4A_HUMAN,0.86
RUVB2_HUMAN,RUVB2_HUMAN,0.9
MELPH_HUMAN,RB27A_HUMAN,0.97
ORC1_HUMAN,ORC4_HUMAN,0.96
CAV1_HUMAN,CXA1_HUMAN,0.88
IRF3_HUMAN,IRF3_HUMAN,0.9
RFWD2_HUMAN,CSN6_HUMAN,0.86
STK11_HUMAN,STRAA_HUMAN,0.9
NU153_HUMAN,RAN_HUMAN,0.89
ATPG_HUMAN,ATPA_HUMAN,0.86
UBP13_HUMAN,ODO1_HUMAN,0.86
KAT5_HUMAN,CBX8_HUMAN,0.86
GIPC1_HUMAN,SH3B4_HUMAN,0.88
NU133_HUMAN,NUP98_HUMAN,0.86
SPG20_HUMAN,WWP1_HUMAN,0.88
RAB21_HUMAN,RABX5_HUMAN,0.87
BAF_HUMAN,EMD_HUMAN,0.89
RAE1L_HUMAN,NUP98_HUMAN,0.97
PSB3_HUMAN,PLK1_HUMAN,0.86
EIF3B_HUMAN,EIF3D_HUMAN,0.94
RPB11_HUMAN,RPB7_HUMAN,0.96
HSBP1_HUMAN,HSF1_HUMAN,0.87
RPAB2_HUMAN,RPA1_HUMAN,0.88
CFLAR_HUMAN,CASPA_HUMAN,0.9
RBM14_HUMAN,TRBP2_HUMAN,0.88
IAPP_HUMAN,IAPP_HUMAN,0.9
CSN6_HUMAN,LRC14_HUMAN,0.87
PSMD6_HUMAN,PSD13_HUMAN,0.95
MED9_HUMAN,RPB2_HUMAN,0.86
EPHB2_HUMAN,EPHB2_HUMAN,0.96
GHR_HUMAN,CISH_HUMAN,0.89
EVI5_HUMAN,PLK1_HUMAN,0.87
ILK_HUMAN,TCPD_HUMAN,0.87
MYC_HUMAN,SYMC_HUMAN,0.86
SIKE1_HUMAN,STK24_HUMAN,0.89
DCP1A_HUMAN,DDX6_HUMAN,0.86
SDF1_HUMAN,SDF1_HUMAN,0.88
ZWINT_HUMAN,PMF1_HUMAN,0.87
PSD13_HUMAN,PSMD8_HUMAN,0.96
MCM4_HUMAN,MCM7_HUMAN,0.97
KSYK_HUMAN,PTN6_HUMAN,0.88
TRAF2_HUMAN,ZFAN6_HUMAN,0.89
CLH1_HUMAN,ARRB1_HUMAN,0.89
BLM_HUMAN,RMI2_HUMAN,0.88
MYBPP_HUMAN,MYCBP_HUMAN,0.89
PVRL2_HUMAN,PVRL2_HUMAN,0.9
SMCA4_HUMAN,REQU_HUMAN,0.88
FKBP4_HUMAN,GLMN_HUMAN,0.9
ZNHI1_HUMAN,SRCAP_HUMAN,0.87
CDC73_HUMAN,PAF1_HUMAN,0.9
EED_HUMAN,EED_HUMAN,0.94
LEG8_HUMAN,ITA3_HUMAN,0.89
LEO1_HUMAN,PAF1_HUMAN,0.9
APC5_HUMAN,CDC23_HUMAN,0.87
RBBP4_HUMAN,SUV91_HUMAN,0.92
AMOL2_HUMAN,YAP1_HUMAN,0.87
UBA5_HUMAN,UFC1_HUMAN,0.91
H4_HUMAN,MCM2_HUMAN,0.89
DPOA2_HUMAN,PRI1_HUMAN,0.86
CEBPB_HUMAN,EGR1_HUMAN,0.88
GRAP2_HUMAN,STABP_HUMAN,0.93
TAF11_HUMAN,TBP_HUMAN,0.9
X3CL1_HUMAN,X3CL1_HUMAN,0.88
LTOR2_HUMAN,LTOR3_HUMAN,0.88
TRAF6_HUMAN,ECHA_HUMAN,0.86
ZRAN1_HUMAN,CT2NL_HUMAN,0.86
NCOR1_HUMAN,TBL1X_HUMAN,0.9
CCNB1_HUMAN,CDN1A_HUMAN,0.89
TERA_HUMAN,UFD1_HUMAN,0.97
I15RA_HUMAN,IL2RG_HUMAN,0.86
H4_HUMAN,SETD8_HUMAN,0.9
CD3Z_HUMAN,ZAP70_HUMAN,0.9
AXIN1_HUMAN,APC_HUMAN,0.9
UCHL5_HUMAN,NFRKB_HUMAN,0.9
SMCA1_HUMAN,BPTF_HUMAN,0.87
CCNH_HUMAN,ERCC3_HUMAN,0.9
IL23A_HUMAN,IL12B_HUMAN,0.9
MAPK5_HUMAN,HSPB1_HUMAN,0.89
COMD1_HUMAN,COMD3_HUMAN,0.86
RBM8A_HUMAN,RENT2_HUMAN,0.87
MXI1_HUMAN,MAX_HUMAN,0.99
MRGBP_HUMAN,RUVB2_HUMAN,0.87
MED29_HUMAN,MED26_HUMAN,0.86
MED28_HUMAN,MED30_HUMAN,0.95
MPP8_HUMAN,PPHLN_HUMAN,0.86
AIMP2_HUMAN,CS057_HUMAN,0.88
NCOR2_HUMAN,VDR_HUMAN,0.87
PSD13_HUMAN,PSD11_HUMAN,0.94
STAT3_HUMAN,PML_HUMAN,0.88
CDC73_HUMAN,WDR61_HUMAN,0.88
IGF2_HUMAN,MPRI_HUMAN,0.9
YETS4_HUMAN,NUMA1_HUMAN,0.88
RPGF1_HUMAN,CRK_HUMAN,0.97
EPAS1_HUMAN,BMAL1_HUMAN,0.94
SPG21_HUMAN,CD4_HUMAN,0.86
H4_HUMAN,TBL1X_HUMAN,0.88
ANDR_HUMAN,MDM2_HUMAN,0.96
NTRK3_HUMAN,NTF3_HUMAN,0.93
UBP14_HUMAN,PRS6A_HUMAN,0.94
MED26_HUMAN,RPAB5_HUMAN,0.86
IL4RA_HUMAN,IL4_HUMAN,0.9
CYTA_HUMAN,CATH_HUMAN,0.88
H4_HUMAN,MCM5_HUMAN,0.93
DTBP1_HUMAN,BL1S2_HUMAN,0.89
LAP2_HUMAN,SMAD2_HUMAN,0.89
UCHL5_HUMAN,PSB3_HUMAN,0.87
RAD17_HUMAN,RFC2_HUMAN,0.89
ZN622_HUMAN,MYBB_HUMAN,0.89
KEAP1_HUMAN,NIBL1_HUMAN,0.86
MYC_HUMAN,RPB1_HUMAN,0.89
UBP14_HUMAN,PSD12_HUMAN,0.94
PSDE_HUMAN,PSMD8_HUMAN,0.93
CD79B_HUMAN,KSYK_HUMAN,0.87
SPIT1_HUMAN,HGFA_HUMAN,0.88
BAG6_HUMAN,GET4_HUMAN,0.9
VEGFB_HUMAN,VGFR1_HUMAN,0.88
SETD7_HUMAN,TAF10_HUMAN,0.89
PRGC1_HUMAN,NRF1_HUMAN,0.88
INAR2_HUMAN,IFNA2_HUMAN,0.9
PDC10_HUMAN,SLMAP_HUMAN,0.87
TIFA_HUMAN,TRAF2_HUMAN,0.88
M3K5_HUMAN,M3K5_HUMAN,0.9
RBL2_HUMAN,LIN54_HUMAN,0.87
NUCL_HUMAN,TOP1_HUMAN,0.9
TAB3_HUMAN,TAB2_HUMAN,0.86
SYTL1_HUMAN,RB27A_HUMAN,0.96
FBXW2_HUMAN,SKP1_HUMAN,0.9
SMD2_HUMAN,SMN_HUMAN,0.9
SENP1_HUMAN,RAGP1_HUMAN,0.9
MZT2B_HUMAN,GCP5_HUMAN,0.87
STK3_HUMAN,STK3_HUMAN,0.9
TF7L2_HUMAN,PARP1_HUMAN,0.86
CND1_HUMAN,CND3_HUMAN,0.89
MIRO1_HUMAN,PINK1_HUMAN,0.86
TRDN_HUMAN,CASQ2_HUMAN,0.87
HGS_HUMAN,TS101_HUMAN,0.97
ATPA_HUMAN,ATPB_HUMAN,0.97
DNJB6_HUMAN,MLF2_HUMAN,0.86
EXOS6_HUMAN,EXOS4_HUMAN,0.88
RPAB5_HUMAN,RPB7_HUMAN,0.95
PEX13_HUMAN,PEX14_HUMAN,0.89
NFKB2_HUMAN,NFKB2_HUMAN,0.94
SEPT4_HUMAN,XIAP_HUMAN,0.89
THRB_HUMAN,FIBA_HUMAN,0.89
OSGEP_HUMAN,PRPK_HUMAN,0.94
DNMT1_HUMAN,EED_HUMAN,0.88
XRCC4_HUMAN,XRCC6_HUMAN,0.89
COIA1_HUMAN,COIA1_HUMAN,0.89
BID_HUMAN,B2LA1_HUMAN,0.89
NEDD4_HUMAN,GRB10_HUMAN,0.92
H4_HUMAN,MCM5_HUMAN,0.93
FBX7_HUMAN,CUL1_HUMAN,0.87
IL22_HUMAN,I10R2_HUMAN,0.9
TNR18_HUMAN,TNR18_HUMAN,0.87
CTND1_HUMAN,KAISO_HUMAN,0.96
TIM13_HUMAN,TIM8A_HUMAN,0.89
ASF1A_HUMAN,H4_HUMAN,0.99
EIF3A_HUMAN,EIF3L_HUMAN,0.9
PIGT_HUMAN,GPI8_HUMAN,0.96
PSA2_HUMAN,PSA5_HUMAN,0.89
PSB4_HUMAN,PSB8_HUMAN,0.89
FBX25_HUMAN,CUL1_HUMAN,0.87
DSN1_HUMAN,PMF1_HUMAN,0.89
TRAF2_HUMAN,TRADD_HUMAN,0.9
PRR5_HUMAN,MTOR_HUMAN,0.86
TT30A_HUMAN,IFT88_HUMAN,0.87
JIP1_HUMAN,MP2K7_HUMAN,0.96
DTNA_HUMAN,UTRO_HUMAN,0.96
TANK_HUMAN,TANK_HUMAN,0.88
PLCG1_HUMAN,ALK_HUMAN,0.86
ZHX2_HUMAN,ZHX3_HUMAN,0.94
MINA_HUMAN,MINA_HUMAN,0.87
PSD13_HUMAN,PSA6_HUMAN,0.94
IL6RB_HUMAN,CNTFR_HUMAN,0.88
SPG21_HUMAN,ATPF2_HUMAN,0.88
NCOA3_HUMAN,CARM1_HUMAN,0.86
NPHP1_HUMAN,NPHP4_HUMAN,0.9
LIMS2_HUMAN,ILK_HUMAN,0.96
ZBT16_HUMAN,GATA2_HUMAN,0.88
RIPK1_HUMAN,TRAF2_HUMAN,0.9
BLNK_HUMAN,SH3K1_HUMAN,0.95
TCTP_HUMAN,MCL1_HUMAN,0.92
MO4L1_HUMAN,PALB2_HUMAN,0.9
SMD3_HUMAN,SMN_HUMAN,0.93
GEMI4_HUMAN,CACO2_HUMAN,0.86
NEMO_HUMAN,MALT1_HUMAN,0.86
PERF_HUMAN,PERF_HUMAN,0.88
IF2B_HUMAN,IF5_HUMAN,0.94
RFA3_HUMAN,RFA3_HUMAN,0.88
NFKB2_HUMAN,TNIP2_HUMAN,0.88
GCP3_HUMAN,GCP5_HUMAN,0.87
BAF_HUMAN,BAF_HUMAN,0.9
GBRL1_HUMAN,ATG7_HUMAN,0.91
TFE2_HUMAN,CBP_HUMAN,0.9
GRAP2_HUMAN,KIT_HUMAN,0.89
RBNS5_HUMAN,RAB4A_HUMAN,0.89
ANGT_HUMAN,AGTR1_HUMAN,0.87
LDB1_HUMAN,RBTN2_HUMAN,0.88
NFKB1_HUMAN,HIF1N_HUMAN,0.89
DAB2_HUMAN,MYO6_HUMAN,0.9
SF3A3_HUMAN,SF3A1_HUMAN,0.99
H4_HUMAN,SETD8_HUMAN,0.9
CHD3_HUMAN,TAL1_HUMAN,0.86
ILK_HUMAN,HSPB1_HUMAN,0.88
WDR24_HUMAN,WDR59_HUMAN,0.9
BID_HUMAN,BCL2_HUMAN,0.99
ZAP70_HUMAN,PLCG1_HUMAN,0.87
TNFC_HUMAN,TNFB_HUMAN,0.9
CBP_HUMAN,H4_HUMAN,0.9
SCNNB_HUMAN,SCNNA_HUMAN,0.9
COPB2_HUMAN,COPA_HUMAN,0.93
BCAR3_HUMAN,BCAR1_HUMAN,0.96
CNTF_HUMAN,CNTFR_HUMAN,0.97
EED_HUMAN,EZH1_HUMAN,0.98
GEMI2_HUMAN,RUXE_HUMAN,0.89
PNKP_HUMAN,MCM3_HUMAN,0.86
NAF1_HUMAN,DKC1_HUMAN,0.89
GIT1_HUMAN,ARHG7_HUMAN,1.0
IL7RA_HUMAN,IL7_HUMAN,0.9
ID2_HUMAN,ADDA_HUMAN,0.86
TITIN_HUMAN,OBSL1_HUMAN,0.89
SH3K1_HUMAN,SEPT9_HUMAN,0.87
RPB1_HUMAN,RPB3_HUMAN,0.99
KEAP1_HUMAN,SQSTM_HUMAN,0.9
JIP1_HUMAN,LRP2_HUMAN,0.88
MED9_HUMAN,MED17_HUMAN,0.87
RS29_HUMAN,RS20_HUMAN,0.86
FANCE_HUMAN,FACD2_HUMAN,0.89
KEAP1_HUMAN,CUL3_HUMAN,0.89
IN80E_HUMAN,INO80_HUMAN,0.87
RMP_HUMAN,RMP_HUMAN,0.88
FA5_HUMAN,THRB_HUMAN,0.86
MDM2_HUMAN,CTBP2_HUMAN,0.88
CUL1_HUMAN,SKP1_HUMAN,1.0
RNPS1_HUMAN,SRS11_HUMAN,0.86
RPP25_HUMAN,POP5_HUMAN,0.88
NOS2_HUMAN,SPSB2_HUMAN,0.89
KAT2A_HUMAN,TAD2A_HUMAN,0.99
NFKB1_HUMAN,FBW1A_HUMAN,0.89
MED26_HUMAN,MED18_HUMAN,0.87
SOCS3_HUMAN,EPOR_HUMAN,0.88
ANM5_HUMAN,H4_HUMAN,0.89
GSAP_HUMAN,A4_HUMAN,0.86
PTN23_HUMAN,TS101_HUMAN,0.86
FBX11_HUMAN,CUL1_HUMAN,0.87
NCOR1_HUMAN,NR1H2_HUMAN,0.86
RB_HUMAN,MYOD1_HUMAN,0.88
ESR1_HUMAN,ESR1_HUMAN,0.9
IRF7_HUMAN,IRF7_HUMAN,0.87
CCNA1_HUMAN,CDN1A_HUMAN,0.89
KCNH2_HUMAN,KCNH2_HUMAN,0.89
DNMBP_HUMAN,BIN3_HUMAN,0.86
CD81_HUMAN,CD81_HUMAN,0.9
ZEP3_HUMAN,TRAF2_HUMAN,0.86
NUP37_HUMAN,NU107_HUMAN,0.87
BAG1_HUMAN,CHIP_HUMAN,0.86
NTRK1_HUMAN,PLCG1_HUMAN,0.9
MED9_HUMAN,MED29_HUMAN,0.86
RENT1_HUMAN,EXOS2_HUMAN,0.86
RRP1B_HUMAN,SRSF6_HUMAN,0.86
CUL3_HUMAN,ABTB1_HUMAN,0.88
PHOCN_HUMAN,CT2NL_HUMAN,0.87
ATX1_HUMAN,CIC_HUMAN,0.87
RPP25_HUMAN,POP7_HUMAN,0.88
PSA4_HUMAN,PSA5_HUMAN,0.87
RARA_HUMAN,MED1_HUMAN,0.9
NXF2_HUMAN,NU214_HUMAN,0.87
MED10_HUMAN,MED28_HUMAN,0.89
OPTN_HUMAN,TBC17_HUMAN,0.88
MYC_HUMAN,PSA1_HUMAN,0.86
LSM4_HUMAN,LSM3_HUMAN,0.92
PTN6_HUMAN,KIT_HUMAN,0.9
THOC7_HUMAN,THOC5_HUMAN,0.87
ERCC8_HUMAN,DDB1_HUMAN,0.89
ZBT16_HUMAN,VDR_HUMAN,0.89
MTX1_HUMAN,MTX2_HUMAN,0.87
CNOT1_HUMAN,CNOT2_HUMAN,0.9
ETV5_HUMAN,RFWD2_HUMAN,0.87
CSN3_HUMAN,CSN5_HUMAN,0.96
FKBP4_HUMAN,GCR_HUMAN,0.95
MET_HUMAN,HGF_HUMAN,0.9
DAXX_HUMAN,MDM2_HUMAN,0.97
IL10_HUMAN,A2MG_HUMAN,0.86
PP1A_HUMAN,RIF1_HUMAN,0.88
ZBT16_HUMAN,RARA_HUMAN,0.88
F110C_HUMAN,KC1E_HUMAN,0.86
CDC37_HUMAN,SRC8_HUMAN,0.86
LSM7_HUMAN,LSM5_HUMAN,0.95
TRAF6_HUMAN,PSMD2_HUMAN,0.86
PCNA_HUMAN,MSH2_HUMAN,0.94
SMAD4_HUMAN,CEBPB_HUMAN,0.89
BL1S2_HUMAN,SNAPN_HUMAN,0.99
WWOX_HUMAN,WBP1_HUMAN,0.88
PDE2A_HUMAN,PDE2A_HUMAN,0.88
RU2A_HUMAN,SF3A3_HUMAN,0.87
DPOD4_HUMAN,PCNA_HUMAN,0.87
SKP2_HUMAN,SKP1_HUMAN,0.97
PML_HUMAN,TGIF1_HUMAN,0.87
COMD1_HUMAN,XIAP_HUMAN,0.89
WASF1_HUMAN,ABI2_HUMAN,0.9
TRADD_HUMAN,FADD_HUMAN,0.96
PARP1_HUMAN,APLF_HUMAN,0.89
VAPA_HUMAN,OPRM_HUMAN,0.88
ATMIN_HUMAN,ATM_HUMAN,0.87
NR0B2_HUMAN,HNF4A_HUMAN,0.88
PKD1_HUMAN,PKD2_HUMAN,0.97
FA8_HUMAN,VWF_HUMAN,0.88
CNOT1_HUMAN,CNOT8_HUMAN,0.9
SET_HUMAN,PTMA_HUMAN,0.86
TNR11_HUMAN,TNF11_HUMAN,0.88
KDM6A_HUMAN,PAXI1_HUMAN,0.89
KIF2C_HUMAN,KIF2C_HUMAN,0.86
PR40A_HUMAN,SF3A1_HUMAN,0.87
AAKB2_HUMAN,AAPK1_HUMAN,0.96
FBLI1_HUMAN,FERM2_HUMAN,0.89
PRP4_HUMAN,N42L2_HUMAN,0.86
PFD2_HUMAN,PFD3_HUMAN,0.9
TS101_HUMAN,CDN1A_HUMAN,0.95
TAB1_HUMAN,XIAP_HUMAN,0.88
PAXI1_HUMAN,WDR5_HUMAN,0.87
CAPZB_HUMAN,CAZA1_HUMAN,0.93
TERF1_HUMAN,ATM_HUMAN,0.9
SYVN1_HUMAN,ERN1_HUMAN,0.89
COG3_HUMAN,COG2_HUMAN,0.9
MED19_HUMAN,MED16_HUMAN,0.87
DDB1_HUMAN,CSN5_HUMAN,0.86
CDT1_HUMAN,SKP2_HUMAN,0.9
SLX1_HUMAN,MUS81_HUMAN,0.88
DCR1C_HUMAN,DNLI4_HUMAN,0.89
ARHG1_HUMAN,GNA12_HUMAN,0.89
TAF13_HUMAN,TAF5_HUMAN,0.91
MD2L2_HUMAN,CDC20_HUMAN,0.88
WDR5_HUMAN,MBIP1_HUMAN,0.87
AP2M1_HUMAN,CTLA4_HUMAN,0.9
APBB3_HUMAN,A4_HUMAN,0.99
ASC_HUMAN,MEFV_HUMAN,0.9
RL35_HUMAN,RL10_HUMAN,0.91
CASP8_HUMAN,TNR6_HUMAN,0.96
NOP56_HUMAN,RL1D1_HUMAN,0.88
ODPX_HUMAN,DLDH_HUMAN,0.9
UB2R2_HUMAN,FBW1A_HUMAN,0.88
XPO1_HUMAN,RCC1_HUMAN,0.92
E2F3_HUMAN,RB_HUMAN,0.89
MDM4_HUMAN,UBP7_HUMAN,0.89
RNF31_HUMAN,HOIL1_HUMAN,0.9
HD_HUMAN,HD_HUMAN,0.9
TPA_HUMAN,FIBA_HUMAN,0.86
SDF1_HUMAN,CXCR4_HUMAN,0.88
KCNRG_HUMAN,KCNRG_HUMAN,0.89
TSN_HUMAN,TSNAX_HUMAN,0.98
TF2H5_HUMAN,TF2H4_HUMAN,0.88
RL10_HUMAN,RL27A_HUMAN,0.89
MED10_HUMAN,MED25_HUMAN,0.9
DPP4_HUMAN,CCL22_HUMAN,0.87
RUVB2_HUMAN,ACL6A_HUMAN,0.89
TPM3_HUMAN,TPM3_HUMAN,0.95
S10A9_HUMAN,S10A8_HUMAN,0.95
TRDN_HUMAN,RYR1_HUMAN,0.9
ELP1_HUMAN,ELP1_HUMAN,0.88
CTLA4_HUMAN,CTLA4_HUMAN,0.95
RPAB2_HUMAN,RPAC1_HUMAN,0.91
CTF18_HUMAN,RFC4_HUMAN,0.96
COMD1_HUMAN,CUL2_HUMAN,0.9
CDT1_HUMAN,CDC6_HUMAN,0.89
BBS7_HUMAN,PTHB1_HUMAN,0.87
SNR40_HUMAN,U5S1_HUMAN,0.9
HCD2_HUMAN,A4_HUMAN,0.9
XRCC6_HUMAN,XRCC5_HUMAN,0.9
MYB_HUMAN,PML_HUMAN,0.88
TRI33_HUMAN,TRI33_HUMAN,0.87
HAUS4_HUMAN,HAUS2_HUMAN,0.87
H4_HUMAN,HAT1_HUMAN,0.96
ELOC_HUMAN,VHL_HUMAN,0.9
NSE1_HUMAN,SMC6_HUMAN,0.95
DPEP1_HUMAN,KBP_HUMAN,0.87
PINK1_HUMAN,PRKN2_HUMAN,0.9
CYBP_HUMAN,CYBP_HUMAN,0.86
NFYC_HUMAN,NFYA_HUMAN,0.96
RL10_HUMAN,RLA0_HUMAN,0.91
RARA_HUMAN,NR0B2_HUMAN,0.89
DCTN1_HUMAN,DYHC1_HUMAN,0.87
EXOS4_HUMAN,EXOS4_HUMAN,0.89
MRGBP_HUMAN,ING3_HUMAN,0.87
SMN_HUMAN,RSMB_HUMAN,0.97
BAIP2_HUMAN,SHAN1_HUMAN,0.88
EGF_HUMAN,EGF_HUMAN,0.89
MDC1_HUMAN,BRCA1_HUMAN,0.88
TF7L2_HUMAN,CTNB1_HUMAN,0.97
NCOR1_HUMAN,SIN3A_HUMAN,0.95
FBXL2_HUMAN,SKP1_HUMAN,0.9
EIF3H_HUMAN,EIF3F_HUMAN,0.96
PUF60_HUMAN,SF3A3_HUMAN,0.86
RAVR1_HUMAN,VINC_HUMAN,0.89
CDC23_HUMAN,APC7_HUMAN,0.87
KLF6_HUMAN,SP1_HUMAN,0.96
IKBE_HUMAN,NFKB2_HUMAN,0.95
CADH5_HUMAN,CTNB1_HUMAN,0.97
SIAH2_HUMAN,SYPH_HUMAN,0.88
GGH_HUMAN,GGH_HUMAN,0.88
PRDM2_HUMAN,RB_HUMAN,0.89
SNIP1_HUMAN,BCLF1_HUMAN,0.89
PSB6_HUMAN,PSB7_HUMAN,0.89
TNR14_HUMAN,TRAF2_HUMAN,0.9
APC_HUMAN,CTNB1_HUMAN,0.99
CDC23_HUMAN,ANC2_HUMAN,0.9
MLL4_HUMAN,ASH2L_HUMAN,0.88
H4_HUMAN,MCM6_HUMAN,0.88
KDM2B_HUMAN,SKP1_HUMAN,0.96
CBP_HUMAN,FOXO4_HUMAN,0.89
NCK2_HUMAN,BCAP_HUMAN,0.89
LRSM1_HUMAN,TS101_HUMAN,0.9
TACC1_HUMAN,CKAP5_HUMAN,0.9
BRD2_HUMAN,H4_HUMAN,0.97
U2AF2_HUMAN,SRPK2_HUMAN,0.9
NPHP4_HUMAN,FTM_HUMAN,0.89
MED29_HUMAN,MED15_HUMAN,0.86
CCNE1_HUMAN,CDN1A_HUMAN,0.9
COPA_HUMAN,COPD_HUMAN,0.87
APOA1_HUMAN,ABCA1_HUMAN,0.88
TEX11_HUMAN,MEF2B_HUMAN,0.86
RPB2_HUMAN,RPAB5_HUMAN,0.92
NR0B1_HUMAN,CSN2_HUMAN,0.88
RM12_HUMAN,RPOM_HUMAN,0.86
TRAF2_HUMAN,TNR3_HUMAN,0.96
PRP8_HUMAN,SPF27_HUMAN,0.86
EIF3F_HUMAN,EIF3G_HUMAN,0.89
ORC4_HUMAN,ORC6_HUMAN,0.96
PARP1_HUMAN,CDN1A_HUMAN,0.89
SUPT3_HUMAN,TAF6L_HUMAN,0.86
MCFD2_HUMAN,LMAN1_HUMAN,0.9
